uid,sentence,sentiment
174,AnupamPKher Kuch media channel dikh rahe hai ki inke upar kai prakaar ke criminal cases hai shame on this type of media channel,negative
175,EkThaEngg AnupamPKher Abe mc nhi malum to ammi mat chuda bsdk grahm stains ko dara singh ne mara tha adivasiy https t co cL4elcDUe8,negative
182,tamashbeen Well chara Chor ke chele this news is a year old,negative
216,Twitter k baghair apna roza mumkin nahi hota Apna chutiyaap dusron per thopna band karo Bhai https t co APKD4G8lh0,positive
252,Oh haha the soldier is reading American Gods hardy har har thanks for reminding everyone of your OTHER clusterfuck,negative
266,asadowaisi PMOIndia Mp me govt kamalnath ki h Wese ek or video viral h jisme aapke shantidut bhai ek dukandar https t co doLm3ODDCs,negative
282,idevadhikari Dev da tmr new movie song Ami tmk valobasi I really loved a lot,neutral
287,Abe BC kya le jayenge yeh toh batah abhi 😜 PAKvWI Babaji Ka Thullu https t co RtZucwCQxA,positive
301,I hope I see my baby this weekend but highly doubt it ugh,neutral
303,DesiStupides Teri ma ka sakinaka tujhe Bhadi chinta ho rahi aaj ab se pehle bhadve log bethe the tab tu dudh https t co NE5QxI2ArO,negative
313,RubikaLiyaquat Isko zammene chayiye bus dogma hai ye kabhi akhilesh ki tareef karta hai aur kabhi rahul me pm dikh https t co hIrIgg0WnT,neutral
331,AskAnshul Jai Shri Ram Jai Shri Krishna Jai Bajrang Bali Jai Bholenath Hum log Bolne lage to rukenge nahi https t co aTYbGSp5qe,negative
337,praneeth rao IndiaHistorypic Hindi tumhari bass ki nahi Nahi seekh paoge Darte ho kahin Hindi me marks hi nahi https t co 23t3ylApsE,negative
344,TalhaGhouri786 shahidmemon20 Hamyat tu khota khor corrupt ganje ki bhi kerte thy kia ukhar lia unhon ne Lanat tere te patwari,negative
347,RT shirai io On sale today NXTTakeOverXXV It s my entrance mask quality is very very nice Even back side too Coming soon WW,positive
348,Alee Ch1 SHABAZGIL Pakeeza language ka istemaal tu koi Nooni bhayoon se poochhay Youthie pe aewen e criticism karte Hain Yeh bhi sahb,neutral
352,SenTi GuLwisH Nahi wo is news ko defend kerne ki koshesh ker rhe hain https t co uxIfr8Z0ZF,neutral
353,RT vikas murali sardesairajdeep Noone cares We will boycott world cup till Nesamani recovers and his attacker Krishnamurthy is arreste,neutral
359,M AHMAD884 shahnaveid Lulli hoti nahi khadi Baten karalo badi badi https t co NNkAZEEx3x,neutral
362,RT FaizanSays23 Dho diya ashk-e-nadamat ne gunahon ko meray tar hua daman to baare paak daman ho gaya Momin khan Momin,neutral
373,kanhaiyakumar kanhaiyakumar beta nafrat tum jaise jahil illiterate failate hain Pata nhi kon si phd chal rhi h https t co j8puwJMrNv,negative
404,MirchiSayema One of my favorites too Another one at the beginning of the movie Chhoti-chhoti chitrayi yaadein https t co sLaOp3nBIi,positive
414,waseemAli0007 Mansoor Ali ImranKhanPTI Tera nam taray ander ki jalan btaa raha hai Sari duniya main oil price https t co yTXZdq5Rbz,negative
428,cbhanp JAI BHEEM Great News for BAHUJAN KUMBKARNAAS becoz of whom this is in Happening This is the Kick St https t co 3rxsK19BVd,neutral
430,don t u love when the one person that gave a fuck about u is dead,neutral
434,maham zaini peaceforchange En ki zalalat ki daastano se tareekh k aoraaq bhare pare hai behna ye aise nahi samaj https t co KV53ldcyTY,positive
439,Tang color Tum india wale sari yahi sochti ho ki Pakistan wale atankistan h par nhi kuch he log lagti h thik Pakistani bhuta achi h,positive
441,sardanarohit Rohit bhai I am your big fan Want to meet you,positive
450,bavS9ZSdtS9YtXz ma lanat bhejta hn tun pe or tmare harami leader niazi pe,negative
451,I dont slay ATSBB Inta seriously nahi leneka segments ko Segments are pure fun nonsense and only cast makes sense,negative
452,KRKBoxOffice kamaalrkhan itsBhushanKumar ZeeMusicCompany Kutta bhonkne lga bhaiyo firse sale gale me patt https t co qYfZx4O0WL,negative
462,shoaib100mph World cup mein mard nahi khusre gae hein jo larna nahi Twitter per ZAbbasOfficial k sath talian bajana jaante hein,negative
466,BeingSalmanKhan Bhaijaan ji please mein apka bahot bahot bada fan hoon please meri Jindagi bachalijiye please mein https t co Y4sXTj6duO,neutral
489,BabaJotwani The scene where sahil proposed to vedika That Dialogue was magical indeed coz I haven't heard that https t co 6jP3eglA5d,positive
495,yadavdimples kanhaiyakumar pbhushan1 A bhauji tohra ka haal ba tu kahe Ludhak gailu Eka matlab Akhilesh bha https t co i2j34CV3pX,neutral
497,Scratch that KFC ke bhi auqaat nahi rahee after today's defeat pesay doob gayee Sarfi ke chakaar main Andaay https t co Nw2A4ipBBe,negative
505,RT aakashsoni786 DSSCampaignAgainstDrugAbuse Gurmeetramrahim Papa Ji Aj Mera P hd Entrance Exam Tha Ap Ji Ki Rehmt se Bahut Acha ho gy,positive
508,To all muslim sab e qadar mubarak https t co 0NKi2uqqVE,positive
512,Jainritesh rj abpnewshindi ShashiTharoor kai bar product khrab nhi hota logo ki choice khrab hoti hai product ki https t co mKStT0EbgN,neutral
531,Aaiye Aapka Intezaar Tha DAMN Kitna khoobsurat hai yeh ladka Mashallah Can't wait for new season https t co mJxckM1CAo,positive
532,RT Being Zeeshan09 Love u Bhaijan Father son Bharat IAmBharat BEST Pic From Entire Promotions Mashallah https t co o6d,positive
559,BaBoo sAhEb To Tera jat talbani Jess harqate kyu Kar tahe masum logo ko kyu Marta tab Tera ammi kaha Mar jate he https t co 74Zn3UNmDh,negative
561,ANI Mazhab ke naam par Election jeetna koi bada kaarnama nahi hota A message to asadowaisi and narendramodi https t co RRMXHuYnUU,negative
566,phata dhol Seriously one of the best post i have seen Bravo nd respect,positive
569,RT 1RockChickie May Allah bless us all with strong imaan taqwa piety a pure heart and good manners Ya Allah give me eyes that se,positive
570,Chiller man giving big jhtka NSEcoloScam has made it a laughing stock firstpost aajtak anjanaomkashyap https t co HLOCU0zKQJ,neutral
577,RT omcswe u do things for ppl u adore because u just want to it's not a transaction it's not give take u do because it's what u r su,neutral
583,GeetaJo03646903 Apne desh ke logo ko thug kar Chala Sanjeev Kapoor world cup dekne,negative
591,aajtak ab ye btaega isse pucho tere jiyne b MLA hai usme se gina hindu MLA kaunsa hai teri muslim awaadi wale gaao https t co 5FIJFBYoJk,neutral
614,Aye Haaa No lie I think you should buy a new pair bc I haven t put these shits on the charger in a minute,neutral
619,fahadmustafa26 aijazz7 faysalquraishi Jerjees Bhai yeah glasses wali admi kon hai jo appki har pic main hota hai,neutral
620,RT bhattd77 MamtaOfficial TajinderBagga Sumita09445393 Mumta Bano Mhatma Ghandhi ki smadhi pe nhi jayegi kyu Vhan Ghandhi ji ke akhi,neutral
626,Deepak151089 Beingmemyself UrvashiKothari1 LynchNashun waglenikhil India me to modi ji aaane k baad muslims sa https t co gLUFjl0Ge3,neutral
628,Boy kiya age hy tmhri Girl Boy be mine I LOVE YOU Girl I'm taken Boy abhi tmhri umer hi https t co IlBOuFff39,neutral
651,undefined here SyedaSaba12 Syed Ali BTW kisi jhootay maseeha ko maseeha man leny sy qafir nahi ho jata koi K https t co 6UANAmRvn2,negative
655,Mc hai sala imVkohli sale lo jyada ghamand hai Kuch din ruk sale tera ghamand dur ho jayega https t co Bek19Z9oR3,neutral
662,Shaan pathan DwivediAnukriti Ikk toh sarkar job ni de rhi or upper se apne india ke log kaam karna nahi chahat https t co zfkm4obLd6,neutral
669,RJDforIndia Han Chara ghotale mein bhi to laloo ne kitney hi gavahon ki maut ke ghat utar Diya that,negative
677,Good Morning Gurmeetramrahim papa ji plz bless me more sewa sumiran parmarth ka bal bakhshna ji Dhan dhan sa https t co 5HrgLfFwzb,positive
685,mona qau Pakistani girls photo without Pakistan ka karz Ada karo Pakistani girls for Heera Mandi Mein Bata Do Karz https tco X60Lm1iVfs,neutral
691,ur boi kdo Most unpractical and cool sword I ve seen,neutral
701,suhailswarraich Journals k bare me Bt ki isne jbhi isko ye cripption Ka certificate dia Gaya h,positive
704,GauravGarg888 PrashantMavani sir prashant dhawan is kohinoor of study iq he is the best teacher of current aff https t co 1Jdprmlpvi,positive
734,ReallySwara Last checked MP me Congress ki Sarkar hai and law and order is a state subject,neutral
740,RAShahzad1 Yeah jo aap hamara roza kharaab karay hain na yeh uss ka notice hay lol Allah aap ko aur aap ki family https t co 8UQl4MVHJ3,neutral
746,Desh ke gaddaro ke liye saal bahut painful hoge kyoki Mota Bhai is now home minister of India https t co H1CxoIOYzI,neutral
748,Ekto aap log 😉 muskurate bhut ho or sharmate 😆 bhi bhut ho Dil to karta hi Aaplogon ko Eid pr bolaun https t co uWH4extxel,positive
764,marvisirmed mjdawar Nice joke tmhare ghaddaron ko danda janay waala hai landay Ka istimal maal pakra hai ussay https t co IUQCnQH18j,neutral
765,sherryontopp Antar atma ko bech Diya hain jab tak beijjat karke bhagaya nahi jata tab tak nahi hilega lekin rahe https t co 2tTS9F7mPx,positive
781,Khan sahab apko vote diya taky ap PM bany or Alhamdulillah ap bany bi PM magar Khan Sahab ab to gabraht ho rahi https t co JN3t2dIEno,neutral
797,pnbindia sir mere a c se ko Rs1180 deduct ho gaya hai kekin branch office kahta ki mai nahi janta ki k https t co DVr9Ys83Qs,neutral
800,Amrann You can t even be nice for a second smh salaam my love 😩,neutral
805,AmitShah narendramodi Aapko bahut bahut badhai ho Amitshah ji asha karte Hain ki aap bhi Modi ji ki tarah hi hama https t co 1hTGPqK2ma,neutral
807,MileyCyrus It would bring me great joy to hear your rendition of Des ree s You Gotta Be Just sayin XOXO,neutral
809,MaryamNSharif Mera khayal he apki nazron se woh document nehein guzra jis me apke papa ne bahir janey keley Mushar https t co ah7L8yL1jj,neutral
818,RT amnajhk no one no one at all jane the virgin narrator i knoOW straight out of a telenovela right,neutral
822,RajivBrar1810 addatoday ajaydevgn Rakulpreet Bhai plz bhagwan kre Bharat acchi movie ho qki dedepyarde jitna https t co bAac04J8Yo,neutral
824,RT GuruOfficial Wishing my bro officialvee a very happy birthday Many more hits on the way together THANKYOU for giving music to so,positive
842,RT arydigitalasia Apki aik gawahi ne Mannat ko pagal saabit kerdia hai Watch Cheekh tonight at PM only on ARYDigital https,neutral
851,just listened to my first jojo siwa song i am a fan lol,neutral
856,RamshaOfficial Sara masla is hi bande ki wajh se hai yehi fasad ki jar hai is ko team nhe chalane ati In palyers ka aps men hasd hai,neutral
866,Being SK Chetan taran adarsh Abe chutiye tera criminal jaisa ghatiya publicity stunt to nhi kr rha h n jo unneces https t co qP8ZPE3PIY,negative
873,purplemoon Kung hnd ko pa checheck bat ka DM ko mukha ni Jungkooky hnd ko maalala na ikaw to HAHAHA,neutral
876,Baby you did an amazing job today i hope you re feeling good i wish i would be at your hotel room wating for yo https t co G7RWHiIDhs,positive
880,Dil k khush krny ko ghalib khyal acha ha what a myth https t co efnod8IjPj,neutral
881,MaryamNSharif ALLAH jise chahe Izaat de r jise chahey zilat dt Dua ha ALLAH Nawaz shareef ko us k khandan ko r u https t co xWjrUnsw88,neutral
885,RT RajheshVaidhya NGK good one kudos to the heroes Suriya offl selvaraghavan thisisysr,positive
892,IndiaToday OfficeOfKNath SAHI HOGA SAYAD TABHI SIRF APPKI CHANNEL PE YE DIKH RAHA HAI WARNA KUCH BIKAV MEDIA https tco buhKQcVF92,neutral
895,Mr Ez1403 Ja na Pakistani pig Dukkar kutta suvar ki mix aulad,negative
898,Aise barish se dosti a66i nahi maaraz tere khud ka gar mitti ka h Ku6 to khyal kar Tera intzar har koi nahi karega https t co VnzralLxAe,neutral
911,anooymous IlhanMN What the fuck does this mean apna neeche ka band karke rakhna jyada kholne ki jaroorat hani https t co 2CebLvQqNO,negative
916,Ham tu ak ayena ha tu dikhaya gya dagh chahru ka Jis ku bura laga samna sa hat jay We love pak army https t co PlH8tCA0F9,neutral
926,BCCI DineshKarthik Happy birthday to you bhai I pray to BABA VISHWANATH for your good health and bright future https t co rOlgJ3GrdX,neutral
942,Gurmeetramrahim good morning pita ji thanks for the new day pls bless me sewa sumrin and parmarth bakso ji https t co WxsE6tR8F5,neutral
943,indiatvnews ITBP official manishindiatv Superbbb voice arjun ji u have realy its mean it so much i salute yuh https t co YWKwB8QMit,positive
954,chhavi Absolutely right But in the history of independent India inclusion secularism were talked about but nev https t co UunSfRgQ0O,neutral
955,Snowycaa Thicccccccc XD I can confirm that Snowycaa did this for a dare I'm one of the witness hahaha,positive
958,rajnathsingh congrats sir Lucknow ki shaan bada di aapne veerta aur shaurya ki missal ab aap pesh kariyega Jai Hind,neutral
965,IamHaseebAhmad majorgauravarya UN Ha ha ha Cow mutr peeke we have won all wars against you guys You should st https t co bcPtVRPMYc,neutral
969,https t co x4CcWjt1TA Doston My New sad song Pyar ki Raah Kathin written by My big brother Shivendra Sugam on https t co Jw8noGqkSF,neutral
970,GdBakshiJe Modi ke jitne ka asar vipaksh pe he nahi padosiyo pe bhi hua hai Bokhla gaye sare ke sare Modi akela https t co zTp7lHsGrd,positive
1003,IamImranAshraf Bholy bhayaa Ufffff dil jeet liya ap ne Love you imran bhai Mind blowing ap ki acting hai ALLA https t co 2r7dXd3z6J,positive
1004,Triumvirate1 darshanbhatt22 Cid r4y Pori dunya main or tum log abhi bhi main Growup Ab kisi ko bhaija to sath khud aa jana,neutral
1005,RT ooobhaishab TerriblyMemer ne aate hi half century kr di Thnku bhai itne like ke liye https t co xT4GHjMFt2,positive
1008,pranchal54 RemovArticle370 BJP4India Jansankhya aur atikraman desh ka sabse bada samasya hai Beat plastic pollution Jai hind,neutral
1013,ObcCarvan Hariramkoushik OBC bhikhari nahi hai aur bhenchod bheemte obc naam ka account bnakar apni maa chuda rah https t co ldNzC4eLKV,negative
1015,Dr fizakhan Pakistani girls photo without Pakistan ka karz Ada karo Pakistani girls for Heera Mandi Mein Bata Do https tco YNyPUqUGo1,neutral
1022,aleemkhan pti Janab Thank you Very Much for your short Break my place May Allah protect you your family https t co cFBKI3qagX,positive
1025,gnnhdofficial Shahidmasooddr sayedzbukhari ImranKhanPTI PTIofficial pmln org MediaCellPPP Chalo g BC inhi c https t co MyrQnPgPIq,neutral
1028,akashbanerjee CONGRATULATIONS AKASH BHAI AAP KO PHIR SE SAAL KA CONTRACT MIL GAYA KeepItUp NOTE SORRY https t co Uvf7ij1Fse,positive
1029,peaceforchange Husain haqqani sab ap time nikal k mar q nahi jatay is dharti py bojh he ho tum gaddar besharam,negative
1030,RT pepsi Nothing like a fresh hit of Pepsi on a day like today https t co SUwcq5FQSv,positive
1031,Rehan30837935 jalee na brumbyoz Pehle Tu apna photo DP rak phir bark kar kutte ki tarah Chal bhag yaha bandhar kahika,negative
1034,SrBachchan Sir need ur blessing on my wedding anniversary myself my wife sonia Pranam you AAP ka ashirwad b https t co LlvlhlOcyu,positive
1051,Abhishekkar CNBC AKA sir ne to CNBC ke pahele bol diya tha https t co h1rAzqIHs0,neutral
1054,Nxt five years main India change hone wala hai kyoki modi sarkar bht bda bdlav krne wali hai Ye main ni hmare modi sir ka kehna hai,positive
1064,IamImranAshraf Uff kya acting he Bholey ji apki Kamaal krdya Aisa koi actor hi nai abtk jo is charactr k saat https t co mO82shhOTP,positive
1068,Raand Congress se v Randwa RJD se buri tarah se HAARA vote denewale ko sadhuwad,neutral
1069,RT Varun dvn KALANK in theatres now Zafar aap ka hain A character I loved playing in this epic love story No spoilers please https t,positive
1073,PiyushGoyal narendramodi Bahut bahut badhai AAP jaise logo ke Karan hi Modi ji Ko majboori Mili hai isi tarah se https t co 0F8OK0aQIW,positive
1077,TahaSSiddiqui sasty or ghatya nashy kar k ye suwar samjhty is trah ki bakwas kar k humein sasti publicity mil jaegi,negative
1079,RT sanjaymanjrekar Proud to have been part of this brilliant commercial released during WC time Great production team that include,positive
1093,SKFforlife Haha Overrated kisko bolte hain chuuuu pehle yeh pata kar BC ata pata kuchh nahi chale aate hain https t co BwbGTOzGs5,negative
1102,POGO launches all new show kalari-kids Love the enthusiasm of my little ones when they saw Chhotabheem dancing an https t co T8K47whZtL,positive
1103,f i r k i Pakistani to aise hi ki rote rhte hain uss time to England ne pe kar diya tha all-out Iss baar bhi wohi ummeed hai,positive
1106,I wanted to see you in Loksabha kanhaiyakumar It's OK kanhaiya ji vichaar badlenge desh badlega vidhyarthi https t co mE0EgrIsXp,positive
1128,JBhrahmin ankimast Wow tum red plain saree pahen na bahut cute lagegi Red plain saree with sleeveless blouse Will look so awasome,neutral
1129,ChaBoyyHD Chaa Can ihave any cheap Ak Cuz Ak it's my Fav Weapon If u wan we can battle if i win u give me https t co xFDIrkRYpE,positive
1136,Day by day this slogan has proven to be true afghani bhagao mulk bachao,negative
1148,manakgupta wo election ke liye badha ke btaya tha accpt this is bar election commission or media ko bhi bewakoof bnaya h janta ke sath,negative
1150,republic He is a bemaar bhikhari kutta why was he dying dub his stupid movies in hindi no wonder the people of tn https t co jj2g6rNBHr,neutral
1156,abpnewshindi ABP news saal se mon nahi bhara Congress ko koste sawal karte ab tweet duwara mazaak urane aare https t co viwYGAryec,negative
1168,RT SharmaRaghvi EVM hack ka bahana nhi chla paye 😜 Ab fir ye saath nikli slips ka le aaye Fir bhi ho gyi bye bye EVMScandal EVM,neutral
1173,RT Laliinsan1gmai1 Dhan dhan satguru tera hi aasra papa g good morning pita g Gurmeetramrahim derasachasauda PledgeAgainstCorruption,positive
1179,Manmohan Singh being considered for party presidents post Ek chuppi hazaar baton se behtar hai usse badhiya udaharan nahi ho sakta,neutral
1185,One India sabka saath sabka vikas sabka visvas https t co 0uLQ2GD2sc,positive
1186,Aban Ind Prothom Kolkata campaigncalling media sangbad Biswa Bangla etc eisob chotokhato channel gulo dekho Sudhu jai sree ram cholche,neutral
1192,kshukla778 Payal Rohatgi Tere maa baap ne bohat badhiya sikhaya hai certificate batna sabko ki kaun kiska chamcha https t co xmdkSszCN2,negative
1202,I miss them we were a craze we used for them bas koi kuch galat bolde old memories https t co NeN57fFIVM,neutral
1218,mamata for PM Mumtaz bano hindu ko dhamki de rahi hai bengal me hi nai pure desh me hindu ka khoon garam ho chuka https t co 3xoDg7raAt,positive
1232,brokengaal i love u so much and theres absolutely nothing to be insecure about bc ur unique in ur own way ok u https t co NOqwyyTgtI,positive
1234,MaryamNSharif ap beti hein apko beshak apny baap ki yaad ati hoo gi Allah apko hosla dy pr certainly apka baap ek https t co 5VVnmK6vFx,positive
1247,Thank you all for supporting wayuutaya THANK YOU THANK YOU strongwitheliza samanthajayz angelmartin00 galiya s https t co CdqQtuABKg,positive
1249,dhruv rathee Han to gaand k keede cow meat kliye pehle se bnde convicted h yeh log aur jb ban h to teri maa ko khilane jaa rha tha,negative
1262,It s proud moment for Ganjam that more than students of Odisha Aadarsh Vidyalaya of Ganjam scored more than https t co aTkLCOKzxT,positive
1264,PAKvWI me WI wickets se jeeta tha ajj wickets se jeet gya world cup hamara hai Ye wali chawle koi na m https t co OLnE5K9PZO,positive
1276,RT official engr peaceforchange Sir merey lye bahut khoshi ka maqam hoga agr ap ne mujy reply kya Love you sir https t co 3U8gb93Jl9,neutral
1284,I Love You I said Ek raat ka lungi she replied NewGFKiTalsshMe,positive
1295,engrzeeshan91 Pr ye oopr jo btaya wo to surgery ni h na,neutral
1313,tamannaahspeaks Very nice Tamanna Tamanna very nice I like you,positive
1335,SachinPilot Apko deputy CM se minister chief kb bnaya ja rhaa h we r waiting,positive
1344,akshay vbk78 spectatorindex Tera pichwada hai bc jb se modi ji jeete hai jali padi hai Tabse pichwaade ki jagah muh se hag rahe ho,positive
1353,SAfridiOfficial Shahid bahi wahab riaz ki bowling mein experience nahi sirf wide aur no balls hi hain,negative
1357,shirishy Isko nikal dia tha world cup me sayad Ek Banda call p Aya bolta h India england and Australia ni ayga semifinal m,negative
1362,RT Sukhjaykumar1 PledgeAgainstCorruption Gurmeetramrahim Good afternoon guru g bless us and give us power to do more and more Sewa S,positive
1366,It s so nice seeing the glow-up of people after May-hem 😍 Congrats guys wohooo Bbye Tired Year,positive
1370,AcharyaPramodk Jitni media ne bjp ke liye prachar ki hai utna to khud bjp ne bhi bjp ke liye nahi surgical strike https t co I2TP6XZOvG,positive
1376,RT aftabkatauli1 khanumarfa thewire in therealnaomib SrishtiTW Siasat me rawadari hai samajhta hai Wo roza to nahi rahta iftari sam,positive
1400,SAMBIT PATRAg anjanaomkashyap Sab she pahele tere gahr me kanon lago kr kiyo ke teri faimly pr tera kabo nahi he https t co scfwME6S7m,neutral
1401,arjunrammeghwal nstomar JoshiPralhad PIBHindi PIB India Arjun Ji jai punrasar baba ki Jai Bikaner Rajasthan https t co T6R7E5qpQM,neutral
1410,theskindoctor13 Doc saab bahut he badhiya video banaya andhere se much better hai,neutral
1415,MalboBagums Sari shairi tassali aur dilasay pay hi munhasir hoti hai warna shairi kyun karay koi agar pas ho kuch 😜,positive
1419,hSghRjpt1 Nationalist Om gandhi ko ham isliye rastrapita mante hai kyu ki wo ahinsa vadi the ye nahi hote to aja https t co 0QqC7oTlSQ,positive
1420,kamaalrkhan If i am not wrong you loved soty naa,positive
1421,Samaj mai ye nahi aaraha ki kyun halat mai sudhaar nahi ho raha hai kyun karyawahi nahi ki ja rahi roads per the https t co ZhyDlOgYwO,positive
1432,squintneon Usko toh kejriwal ne khud reject kar diya tha Education minister toh kejriwal khud bana sakta tha Raj https t co bea2LWY3ZQ,negative
1445,sunoo chanda make a gentle and nice relation with someone life me kisi k sahare ki zarort parti ha,neutral
1448,dur rahiye Sex is cool but after nikah ose phele kise ko hath laga ne ka bhi haq nai hai hume,positive
1450,KElectricPk Sub bakwas ha ye apni harkaton se baz nhi ayen ge kisi na kisi fault ko jawaz bana kr ye light band ra https t co IoOO1y4XLt,negative
1453,AamAadmiParty ArvindKejriwal x cm Shila dixet or under karne wale the feku tum annaji ko b dhokha de diya,neutral
1458,pramila2710 DrKumarVishwas Lekin itne kharab result se KUTA BAUNA HARAMI HANDSOME SUVAR SINGH etc ka gussa https t co 9sXAbdtkzA,negative
1462,RT SonuNag13101789 ValueTime ValueLife Gurmeetramrahim Derasachasauda Pujya guru ji kehte h ki jo insan samya ki kader karte h alasya,neutral
1464,imMAK02 Are bsdkk Dhruv Tyagi ke bare main kitni bar Muslim aatankwad bola tune Vivek hatyakand ke bad teri zu https t co lCZbqkHD7b,negative
1476,ZarinaBano Bharat ka Musalman hamesha secular govt k liye vote karta raha hai karta rahega Haar jeet sikke k d https t co CsOiGgFeOR,positive
1480,Congress party ne pehle se feku bhakt Media ka agenda samaj liya hote to ye chunav nhi hartefeku bhakt Media ne fe https t co GMIC7HjwOY,negative
1484,Vipul49997183 dtptraffic Ghoda Ghaans se Dosti kar lega to khayega kya Delhi Sarkaar Home Ministry public ki na https t co EVp3m8f0i8,negative
1486,RT BurgerKing for real tho we re trying to pay off those loans introducing Whopper Loans make a purchase through the BK app for a cha,neutral
1494,RT TAETAE PH Watching BTSatWembley is making me miss them more Sighhh I m really hoping for BTS in PH we miss you everyday guys BTS,positive
1505,asadowaisi How come he was the first man What about earlier incidents Ab inke Naam se roti pel raha hai Shame on you,negative
1506,Need is branch ke students ki hai jisase digiral India par force diya ja sake aur corruption bhi na ho Mai shr https t co 8VNEQ45Wyc,positive
1510,Aap pichla saal se media ka ghatna kramank Ko rewind karke dekhiye jabbi vipaksh ne ruling party ke neeti ke baar https t co 932v5ZGoVj,positive
1511,htTweets harijdas7 aur bakwas karma aur TV per galat sandesh dena to kam hua Instead each Congressi Neta aur Kar https t co fvmBYlfEHl,negative
1512,SatyaHindi ashutosh83B Desh aaghe baad raha hai ye religion ke naam pe bakwas karna baand karo aur tumhare AAP bhaiyon ko bhi shikhao,positive
1545,RT aamir khan I'm very sad to hear about Veeruji passing away I had the pleasure privilege of working with Veeruji He was an amazing pe,positive
1550,RT smithmaheshwari Me as a father Son Papa aaj main night study ke liye jau ga Me kitne baje Son baje tak Me Haan,neutral
1553,saleem mohad ham log ko koe dukh nhi hay tumko hay to Pakistan ja,neutral
1570,breatheapril I know it's so late for me to comment on this tweet but I just wanna say I really miss you and your n https t co ps6NQpEzXj,neutral
1572,INCMP MP m Kamalnath government ko vote diye the ki Employment milega pr months ho gye ghanta kuch ni hua na aagey kuch hoga,negative
1574,StarMoo75329799 HarunKh67113991 jandkheadlines Shehla Rashid Krishna tab tha jab tera allah peda bhi nahi hua https t co oFRqDOSYDU,negative
1589,show acha chalna chahiye people dont care kisko chance diya kisko nhi jo main h kisliye hai Entertainment jyada krt https t co ui0pywj1vQ,positive
1593,RT psf team Lathi Goli Ki Sarkar Nhi Chalegi Nhi Chalegi https t co fhl3aPEoif,negative
1598,AkhileshPSingh Chal be har gaya ab to sudhar ja Ki fir se uncle RahulGandhi ko harwayega Tere jeson ki wajah s https t co ooWUFvddYm,positive
1604,ASIFCHUGHTAI987 matineees Payal NavidocSingh Markhor pak DonPilots AbdulQa13248496 KabristaanC https t co FHUnkysjBt,neutral
1608,asli sapna we eradicate Untouchability poverty is a sin for life,positive
1637,sid abu GulBukhari GandharaRFE Kute ki tarah bhonkta he jb k ye farishta k cousin ka wo attitude he jo tere jese https tco dZfBzdk6a0,negative
1640,narendramodi Respected PM Modi jiii Hamare Odisha ka Educational System ka Daityo Aparajita Sadangi mam ko dene ke https t co byzPWsUqSm,neutral
1648,AzamJamil53 Kab k uth gye Gulshan k karobar bhi chal pare Fed the dogs did the few dishes left from last night laundry going on,negative
1652,RT LukeEclair FF Have a great weekend politicaldani Bhav Popat ConnorJonesCons ali panju theblondpond stephiebellabb MrRhysBenja,positive
1655,Modi chor ko pta tha k EVM set ho chuki h aur election commission ko inform kr diya gaya h k hme seat chahiye e https t co JCfkw2VXDr,negative
1656,mlkhattar Sir Congratulations on your marvellous victory BJP but it seems that no one is ever bothered about sev https t co 8woRVtJlvE,negative
1657,AnwarLodhi Make sure he becomes the bootlicker exactly the way you are Allah apke saye se is masoom ko bachaye Ameen,negative
